Line Name,Rest Value
La,1215.67
N V,1238.81
N V,1242.80
Si IV,1393.76
Si IV,1402.77
C IV,1548.20
C IV,1550.77
He II,1640.5
Al III,1854.72
C III],1909
Mg II,2795.50
Mg II,2802.70
Mg I,2851.6
Si I,2881.1
[Ne V],3425.8
Fe I,3581.21
H21,3679
H14,3721.94
[O II],3726.0
[O II],3728.8
H13,3734.37
Fe I,3734.87
H12,3750.15
H11,3770.63
H10,3797.90
Fe I,3820.44
H9,3835.39
[Ne III],3868.7
H8,3889.05
Ca II - K line,3933.68
[Ne III],3967.5
Ca  II - H line,3968.49
He - (H7),3970.08
Fe I,4045.82
[S II],4068.6
[S II],4076.2
Hd - (H6),4101.75
Ca I,4226.74
CH - G band (atmo.),4300
Hg - (H5),4340.48
Hg,4358.3
[O III],4363.2
Fe I,4383.56
He I,4388
He I,4471.6
He II,4541.6
He II,4685.7
He I,4713.3
Hb - (H4),4861.34
Fe I,4891.50
Fe I,4920.51
He I,4922
Fe I,4957.61
[O III],4958.9
[O III],5006.8
He I,5015
He I,5048
Mg I - b4,5167.327
Mg I - b2,5172.698
Mg I - b1,5183.619
[N I],5198.5
[N I],5200.7
Fe I,5250.22
Fe I,5269.55
Fe I,5328.05
He II,5411.5
Hg,5460.7
Mg I,5528.42
[O I],5577.5
Hg,5769.6
Hg,5790.7
He I,5875.65
Na I - D2,5889.973
Na I - D1,5895.940
Ca I,6102.73
Ca I,6122.23
Ca I,6162.18
O2 - C band (atmo.),6388
[O I],6300.3
Fe I,6302.50
[O I],6363.8
[N II],6548.1
Ha - (H3),6562.808
[N II],6583.4
He I,6678
[S II],6716.4
[S II],6730.8
O2 - B band (atmo.),6884
He I,7065
O2 - A band (atmo.),7621
Ca II,8498.062
Ca II,8542.144
Ca II,8662.170
Pd,10049.27
Pg,10938.10
