Line Name,Rest Value
Ne VIII,770.409
Ne VIII,780.324
Ly e,937.814
Ly d,949.742
C III,977.03
N III,989.79
N III,991.514
N III,991.579
Ly b,1025.722
O VI,1031.912
O VI,1037.613
Ar I,1066.66
Ly a,1215.67
N V,1238.821
N V,1242.804
Si II,1260.422
Si II,1264.73
O I,1302.168
C II,1334.532
C II,1335.708
Si IV,1393.755
O IV],1397.232
O IV],1399.78
Si IV,1402.77
N IV],1486.496
C IV,1548.187
C IV,1550.772
He II,1640.42
O III],1660.809
O III],1666.15
N III],1746.823
N III],1748.656
Al III,1854.716
Al III,1862.79
Si III],1892.03
C III],1908.734
