Line Name,Rest Value
CO 2-0,2.2935
CO 3-1,2.3227
CO 4-2,2.3525
CO 5-3,2.3829
CO 6-4,2.4142
CO 7-5,2.4461
CO 8-6,2.4787
CO 9-7,2.5122
CO 3-0,1.5582
CO 4-1,1.5780
CO 5-2,1.5982
CO 6-3,1.6187
CO 7-4,1.6397
CO 8-5,1.6610
CO 1-0R(22),4.5010
CO 1-0R(21),4.5071
CO 1-0R(20),4.5132
CO 1-0R(19),4.5195
CO 1-0R(18),4.5259
CO 1-0R(17),4.5324
CO 1-0R(16),4.5389
CO 1-0R(15),4.5456
CO 1-0R(14),4.5547
CO 1-0R(13),4.5592
CO 1-0R(12),4.5662
CO 1-0R(11),4.5732
CO 1-0R(10),4.5804
CO 1-0R(9),4.5876
CO 1-0R(8),4.5950
CO 1-0R(7),4.6024
CO 1-0R(6),4.6100
CO 1-0R(5),4.6177
CO 1-0R(4),4.6254
CO 1-0R(3),4.6333
CO 1-0R(2),4.6412
CO 1-0R(1),4.6493
CO 1-0R(0),4.6575
CO 1-0P(1),4.6742
CO 1-0P(2),4.6826
CO 1-0P(3),4.6912
CO 1-0P (4),4.7002
CO 1-0P (5),4.7088
CO 1-0P (6),4.7177
CO 1-0P (7),4.7267
CO 1-0P (8),4.7359
CO 1-0P (9),4.7451
CO 2-0R(0),2.345305
CO 2-0R(1),2.343269
CO 2-0R(2),2.341275
CO 2-0R(3),2.339323
CO 2-0R(4),2.337413
CO 2-0P(1),2.34950
CO 2-0P(2),2.35167
CO 2-0P(3),2.35387
CO 2-0P(4),2.35612
CO 2-0P(5),2.35841
