flag,description,name
0,Reed-Solomon error,
1,Hot Spot (FUV),
2,Detector shadow,
3,Poorly calibrated region (including detector edge),
4,Very low response region (>80% depression),
5,Background feature (FUV),
6,Burst (FUV),
7,Pixel out-of-bounds,
8,Fill data,
9,Pulse Height out of bounds (FUV),
10,Low response region (>50% depression),
11,Bad time interval,
12,Low PHA feature,
13,Gain-Sag Hole,
14,FUV detector edge high dark rates (FUV),
